fund_code,fund_name,reason
001759,嘉实成长增强混合,主动管理混合型
001758,嘉实研究增强混合,主动管理混合型
002146,长安鑫益增强混合A,主动管理混合型
002147,长安鑫益增强混合C,主动管理混合型
000172,华泰柏瑞量化增强混合A,主动管理混合型
010234,华泰柏瑞量化增强混合C,主动管理混合型
005082,诺德量化蓝筹增强混合A,主动管理混合型
005083,诺德量化蓝筹增强混合C,主动管理混合型
530020,建信转债增强债券A,可转债/债券型
531020,建信转债增强债券C,可转债/债券型
001257,兴业收益增强债券A,债券型
001258,兴业收益增强债券C,债券型
002474,中邮睿信增强债券A,债券型
005121,富国兴利增强债券A,债券型
100035,富国优化增强债券A/B,债券型
100037,富国优化增强债券C,债券型
510080,长盛全债指数增强债券A,债券指数增强(非股票)
019202,长盛全债指数增强债券D,债券指数增强(非股票)
019203,长盛全债指数增强债券E,债券指数增强(非股票)
200002,长城久泰沪深300指数A,标准指数基金（非增强）
006912,长城久泰沪深300指数C,标准指数基金（非增强）
021877,中欧沪深300指数发起A,标准指数基金（非增强）
021878,中欧沪深300指数发起C,标准指数基金（非增强）
024186,博时沪深300指数I,普通指数基金（非增强）
021924,汇添富沪深300安中指数B,普通指数基金（非增强）
022992,鹏华中证500指数(LOF)I,普通指数基金（非增强）
163408,兴全沪深300指数(LOF)A(后端),普通指数基金（非增强）
201002,长城久泰沪深300指数A(后端),普通指数基金（非增强）
519301,大成沪深300指数A(后端),普通指数基金（非增强）
159226,中证A500增强ETF国泰,非目标指数-中证A500
159240,A500增强ETF天弘,非目标指数-中证A500
024904,招商资管中证全指自由现金流指数发起A,非目标指数-中证A500
024905,招商资管中证全指自由现金流指数发起C,非目标指数-中证A500
025711,汇添富中证A500指数量化增强A,非目标指数-中证A500
025712,汇添富中证A500指数量化增强C,非目标指数-中证A500
512370,A500增强ETF华夏,非目标指数-中证A500
561090,A500增强ETF华安,非目标指数-中证A500
563550,A500增强ETF摩根,非目标指数-中证A500
563600,A500增强ETF易方达,非目标指数-中证A500
563630,A500增强ETF国联安,非目标指数-中证A500
025513,德邦中证800指数增强A,非目标指数-中证800
025514,德邦中证800指数增强C,非目标指数-中证800
025763,工银中证800指数增强A,非目标指数-中证800
025764,工银中证800指数增强C,非目标指数-中证800
026255,国寿安保中证800指数增强A,非目标指数-中证800
026256,国寿安保中证800指数增强C,非目标指数-中证800
026780,华泰保兴中证800指数增强A,非目标指数-中证800
026781,华泰保兴中证800指数增强C,非目标指数-中证800
027309,金信中证800指数增强A,非目标指数-中证800
027310,金信中证800指数增强C,非目标指数-中证800
027778,苏新中证800指数增强A,非目标指数-中证800
027779,苏新中证800指数增强C,非目标指数-中证800
027987,嘉实中证800指数增强A,非目标指数-中证800
027988,嘉实中证800指数增强C,非目标指数-中证800
019546,汇添富上证50基本面增强指数D,非目标指数-上证50
026823,兴银上证综合指数增强A,非目标指数-上证指数
026824,兴银上证综合指数增强C,非目标指数-上证指数
