fund_code,fund_name,benchmark_index
166802,浙商沪深300指数增强(LOF)A,HS300
166803,浙商沪深300指数增强(LOF)C,HS300
005113,平安沪深300指数量化A,HS300
005114,平安沪深300指数量化C,HS300
020220,国联安沪深300指数增强A,HS300
020221,国联安沪深300指数增强C,HS300
021757,中欧沪深300指数量化增强A,HS300
021758,中欧沪深300指数量化增强C,HS300
022309,国联沪深300指数增强A,HS300
022310,国联沪深300指数增强C,HS300
022646,贝莱德沪深300指数增强A,HS300
022647,贝莱德沪深300指数增强C,HS300
022337,华泰保兴沪深300指数增强A,HS300
022338,华泰保兴沪深300指数增强C,HS300
200002,长城久泰沪深300指数A,HS300
006912,长城久泰沪深300指数C,HS300
019295,德邦沪深300指数增强A,HS300
019296,德邦沪深300指数增强C,HS300
024415,长信沪深300指数量化增强A,HS300
024416,长信沪深300指数量化增强C,HS300
011545,长江沪深300指数增强发起式A,HS300
011546,长江沪深300指数增强发起式C,HS300
022962,兴全沪深300指数增强(LOF)Y,HS300
003876,华宝沪深300增强策略ETF联接A,HS300
007404,华宝沪深300增强策略ETF联接C,HS300
024636,招商沪深300增强策略ETF联接A,HS300
024637,招商沪深300增强策略ETF联接C,HS300
023192,招商资管中证500指数增强发起A,ZZ500
023198,招商资管中证500指数增强发起C,ZZ500
021051,国联中证500指数增强A,ZZ500
021052,国联中证500指数增强C,ZZ500
025334,人保中证500指数增强A,ZZ500
025335,人保中证500指数增强C,ZZ500
162216,宏利500指数增强(LOF),ZZ500
010157,汇安中证500增强A,ZZ500
010158,汇安中证500增强C,ZZ500
022790,苏新中证500指数增强A,ZZ500
022791,苏新中证500指数增强C,ZZ500
022969,联博中证500指数增强A,ZZ500
022970,联博中证500指数增强C,ZZ500
025013,天弘中证500指数量化增强A,ZZ500
025014,天弘中证500指数量化增强C,ZZ500
026109,广发中证500指数量化增强A,ZZ500
026110,广发中证500指数量化增强C,ZZ500
025982,鹏华中证500指数量化增强A,ZZ500
025983,鹏华中证500指数量化增强C,ZZ500
023142,兴全中证500指数增强A,ZZ500
023143,兴全中证500指数增强C,ZZ500
026083,财通资管中证500指数增强A,ZZ500
026084,财通资管中证500指数增强C,ZZ500
016962,国联安中证1000指数增强A,ZZ1000
016963,国联安中证1000指数增强C,ZZ1000
016942,工银中证1000指数增强A,ZZ1000
016943,工银中证1000指数增强C,ZZ1000
018013,长信中证1000指数增强A,ZZ1000
018014,长信中证1000指数增强C,ZZ1000
017953,汇添富中证1000指数增强A,ZZ1000
017954,汇添富中证1000指数增强C,ZZ1000
017733,中金中证1000指数增强发起A,ZZ1000
017734,中金中证1000指数增强发起C,ZZ1000
024091,中金中证1000指数增强发起B,ZZ1000
018157,西部利得中证1000指数增强A,ZZ1000
018158,西部利得中证1000指数增强C,ZZ1000
017644,博道中证1000指数增强A,ZZ1000
017645,博道中证1000指数增强C,ZZ1000
017846,国金中证1000指数增强A,ZZ1000
017847,国金中证1000指数增强C,ZZ1000
018233,浙商中证1000指数增强A,ZZ1000
018234,浙商中证1000指数增强C,ZZ1000
017323,农银中证1000指数增强A,ZZ1000
017324,农银中证1000指数增强C,ZZ1000
018661,大成中证1000指数增强发起式A,ZZ1000
018662,大成中证1000指数增强发起式C,ZZ1000
019185,泰康中证1000指数增强发起A,ZZ1000
019186,泰康中证1000指数增强发起C,ZZ1000
019402,财通资管中证1000指数增强A,ZZ1000
019403,财通资管中证1000指数增强C,ZZ1000
019555,中银中证1000指数增强A,ZZ1000
019556,中银中证1000指数增强C,ZZ1000
022685,中银中证1000指数增强E,ZZ1000
025020,博道中证全指指数增强A,CSI_ALL
025021,博道中证全指指数增强C,CSI_ALL
025041,国金中证全指指数增强A,CSI_ALL
025042,国金中证全指指数增强C,CSI_ALL
025911,东方红中证全指指数增强A,CSI_ALL
025912,东方红中证全指指数增强C,CSI_ALL
025430,中金中证全指指数增强A,CSI_ALL
025431,中金中证全指指数增强C,CSI_ALL
025755,华泰保兴中证全指指数增强A,CSI_ALL
025756,华泰保兴中证全指指数增强C,CSI_ALL
